                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 2.4032,                 2.9208,                 2.7358,                0.25634,                0.20438,                0.12198,                 0.0415,                 2.3757,                 3.4676,                 2.5631,              0.0014918,              0.0014918,              0.0014918
                     79,                 2.3726,                 2.8605,                 2.5929,                  0.186,                0.19708,                0.09968,                0.03384,                 2.3443,                 3.6422,                 2.5344,              0.0014852,              0.0014852,              0.0014852
                     80,                 2.3269,                 2.8958,                 2.6791,                 0.2668,                0.18978,                0.12764,                 0.0472,                 2.2921,                 3.1229,                 2.4876,              0.0014786,              0.0014786,              0.0014786
                     81,                 2.4062,                  2.897,                 2.6841,                0.31149,                0.21168,                0.20844,                0.07971,                 2.3619,                 2.7309,                 2.5005,               0.001472,               0.001472,               0.001472
                     82,                 2.3243,                 2.8941,                 2.6648,                0.30927,                0.29927,                0.22522,                0.07132,                 2.4474,                  2.686,                 2.5359,              0.0014654,              0.0014654,              0.0014654
                     83,                   2.38,                 2.8008,                 2.7376,                0.36439,                0.13869,                0.18017,                0.05464,                 2.4717,                 3.0212,                 2.5864,              0.0014588,              0.0014588,              0.0014588
                     84,                 2.3978,                 2.8644,                 2.5933,                0.06487,                0.32847,                0.11481,                0.03735,                 2.5001,                 3.1251,                 2.7071,              0.0014522,              0.0014522,              0.0014522
                     85,                 2.4219,                 2.7834,                 2.6539,                0.06951,                0.25193,                0.08765,                0.03415,                 2.4377,                 3.2129,                 2.7009,              0.0014456,              0.0014456,              0.0014456
                     86,                 2.3124,                 2.9217,                 2.6322,                0.13244,                0.24088,                0.11956,                0.04781,                 2.3563,                 3.0157,                 2.5933,               0.001439,               0.001439,               0.001439
                     87,                 2.3406,                 2.7532,                  2.565,                0.21228,                0.29197,                0.14549,                0.05912,                 2.2344,                 2.7299,                 2.4481,              0.0014324,              0.0014324,              0.0014324
                     88,                 2.2843,                 2.8202,                 2.5444,                0.35527,                0.24818,                0.21476,                0.08962,                 2.2134,                 2.8622,                 2.4341,              0.0014258,              0.0014258,              0.0014258
                     89,                 2.3094,                 2.8904,                 2.6566,                0.34505,                0.26151,                0.22845,                0.08709,                 2.2957,                 3.3837,                 2.4757,              0.0014192,              0.0014192,              0.0014192
                     90,                 2.2855,                 2.6857,                 2.6044,                0.33601,                0.24088,                0.23128,                0.07737,                 2.3607,                 2.9778,                 2.4523,              0.0014126,              0.0014126,              0.0014126
                     91,                 2.3573,                 2.8864,                 2.6928,                0.22833,                0.14599,                0.12368,                0.04598,                 2.6068,                 3.3055,                 2.6537,               0.001406,               0.001406,               0.001406
                     92,                 2.3525,                 2.7165,                 2.5767,                0.42953,                0.10949,                0.12847,                0.05503,                 2.6229,                  3.357,                 2.7156,              0.0013994,              0.0013994,              0.0013994
                     93,                 2.2905,                 2.7579,                 2.6282,                0.37697,                0.31387,                 0.2495,                0.09956,                  2.324,                  2.598,                 2.4242,              0.0013928,              0.0013928,              0.0013928
                     94,                 2.3202,                 2.6661,                 2.6204,                0.21282,                0.24818,                0.14592,                0.05689,                 2.3716,                 2.7626,                 2.4332,              0.0013862,              0.0013862,              0.0013862
                     95,                 2.2298,                 2.7409,                 2.5145,                0.22387,                0.18248,                0.13805,                0.05446,                 2.3118,                 2.9564,                 2.4011,              0.0013796,              0.0013796,              0.0013796
                     96,                 2.2837,                 2.6519,                 2.5945,                0.22537,                0.26277,                0.17802,                0.06562,                 2.2651,                  2.777,                 2.3418,               0.001373,               0.001373,               0.001373
                     97,                 2.2852,                 2.6318,                 2.4889,                0.32373,                0.34941,                0.23754,                0.09216,                 2.2882,                 2.9082,                 2.3469,              0.0013664,              0.0013664,              0.0013664
                     98,                 2.3019,                 2.6443,                 2.5723,                0.25777,                0.32847,                0.20452,                0.08517,                 2.2738,                 3.2477,                 2.3497,              0.0013598,              0.0013598,              0.0013598
                     99,                 2.2784,                 2.6642,                 2.4855,                 0.2784,                0.26754,                0.18373,                0.06738,                 2.2419,                 2.9656,                 2.3599,              0.0013532,              0.0013532,              0.0013532
                    100,                 2.2175,                 2.7715,                 2.4697,                0.31539,                0.28467,                0.19173,                0.07427,                 2.2679,                 2.7149,                 2.3704,              0.0013466,              0.0013466,              0.0013466
                    101,                  2.324,                 2.7623,                 2.5497,                 0.2736,                0.24088,                 0.1747,                0.07348,                 2.3277,                 2.8193,                 2.4333,                0.00134,                0.00134,                0.00134
                    102,                 2.1821,                 2.6146,                  2.478,                0.25555,                0.29927,                0.19226,                0.08896,                 2.2654,                 2.7219,                 2.3805,              0.0013334,              0.0013334,              0.0013334
                    103,                 2.3025,                 2.6983,                 2.5269,                0.38711,                0.36885,                0.28312,                0.11409,                  2.235,                 2.9964,                 2.3831,              0.0013268,              0.0013268,              0.0013268
                    104,                 2.2047,                 2.5139,                 2.4598,                  0.317,                0.32847,                0.24188,                0.10724,                 2.2401,                 2.9234,                 2.4224,              0.0013202,              0.0013202,              0.0013202
                    105,                 2.2258,                 2.5056,                 2.4202,                0.34156,                0.31387,                0.24765,                0.11125,                 2.2054,                 2.7734,                 2.3161,              0.0013136,              0.0013136,              0.0013136
                    106,                 2.2004,                 2.6107,                 2.4447,                0.35238,                0.35348,                0.24619,                0.10907,                 2.1323,                 3.0182,                 2.2656,               0.001307,               0.001307,               0.001307
                    107,                 2.2807,                 2.5524,                 2.4182,                0.42348,                0.36496,                0.35007,                0.14361,                 2.0995,                 2.5594,                 2.2637,              0.0013004,              0.0013004,              0.0013004
                    108,                 2.2567,                 2.6073,                 2.4165,                0.37003,                0.36496,                0.27952,                0.11662,                 2.1521,                 2.3584,                 2.2895,              0.0012938,              0.0012938,              0.0012938
                    109,                 2.2088,                 2.4933,                 2.4615,                0.32516,                0.33061,                0.22354,                0.10826,                 2.0961,                 2.3685,                 2.2728,              0.0012872,              0.0012872,              0.0012872
                    110,                 2.2492,                 2.5183,                 2.5337,                 0.3952,                0.37226,                0.27884,                0.12615,                 2.1345,                 2.3226,                 2.3072,              0.0012806,              0.0012806,              0.0012806
                    111,                 2.2176,                 2.5897,                 2.4644,                0.39749,                0.37226,                0.30319,                0.13087,                 2.2216,                 2.3826,                 2.3519,               0.001274,               0.001274,               0.001274
                    112,                 2.2043,                 2.5575,                 2.4618,                0.37071,                0.40876,                0.30554,                0.12674,                 2.1869,                 2.4074,                 2.3122,              0.0012674,              0.0012674,              0.0012674
                    113,                 2.1292,                 2.5125,                 2.3921,                0.43675,                0.37921,                0.28852,                0.11544,                 2.2564,                 2.4901,                 2.3411,              0.0012608,              0.0012608,              0.0012608
                    114,                 2.2013,                 2.5556,                 2.4004,                0.45833,                0.36496,                0.33684,                0.14599,                 2.1525,                 2.3899,                 2.2949,              0.0012542,              0.0012542,              0.0012542
